year_month,year,month,month_name,mode,line_id,line,total_ridership,avg_daily_ridership,days_observed
2021-07,2021,7,Jul,Monorail,MR,KL Monorail,137369,4431,31
2021-08,2021,8,Aug,LRT,AG/PH,LRT Ampang/Sri Petaling,1061950,34256,31
2021-08,2021,8,Aug,LRT,KJ,LRT Kelana Jaya,1093605,35278,31
2021-08,2021,8,Aug,MRT,KGL,MRT Kajang,758049,24453,31
2021-08,2021,8,Aug,Monorail,MR,KL Monorail,179144,5779,31
2021-09,2021,9,Sep,LRT,AG/PH,LRT Ampang/Sri Petaling,1557367,51912,30
2021-09,2021,9,Sep,LRT,KJ,LRT Kelana Jaya,1634423,54481,30
2021-09,2021,9,Sep,MRT,KGL,MRT Kajang,1294304,43143,30
2021-09,2021,9,Sep,Monorail,MR,KL Monorail,274935,9164,30
2021-10,2021,10,Oct,LRT,AG/PH,LRT Ampang/Sri Petaling,2034527,65630,31
2021-10,2021,10,Oct,LRT,KJ,LRT Kelana Jaya,2355921,75997,31
2021-10,2021,10,Oct,MRT,KGL,MRT Kajang,1870652,60344,31
2021-10,2021,10,Oct,Monorail,MR,KL Monorail,407268,13138,31
2021-11,2021,11,Nov,LRT,AG/PH,LRT Ampang/Sri Petaling,2392406,79747,30
2021-11,2021,11,Nov,LRT,KJ,LRT Kelana Jaya,2962250,98742,30
2021-11,2021,11,Nov,MRT,KGL,MRT Kajang,2278009,75934,30
2021-11,2021,11,Nov,Monorail,MR,KL Monorail,501210,16707,30
2021-12,2021,12,Dec,LRT,AG/PH,LRT Ampang/Sri Petaling,2706638,87311,31
2021-12,2021,12,Dec,LRT,KJ,LRT Kelana Jaya,3336549,107631,31
2021-12,2021,12,Dec,MRT,KGL,MRT Kajang,2673726,86249,31
2021-12,2021,12,Dec,Monorail,MR,KL Monorail,589922,19030,31
2022-01,2022,1,Jan,LRT,AG/PH,LRT Ampang/Sri Petaling,2828567,91244,31
2022-01,2022,1,Jan,LRT,KJ,LRT Kelana Jaya,3470403,111948,31
2022-01,2022,1,Jan,MRT,KGL,MRT Kajang,2737126,88294,31
2022-01,2022,1,Jan,Monorail,MR,KL Monorail,576678,18603,31
2022-02,2022,2,Feb,LRT,AG/PH,LRT Ampang/Sri Petaling,2171266,77545,28
