stop_id,station_name,stop_name,stop_lat,stop_lon,category,route_id,route_short_name,route_long_name,route_color_hex,isOKU,is_interchange_name,status
SP14,Bandar Tun Razak,BANDAR TUN RAZAK,3.089576,101.712466,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP13,Salak Selatan,SALAK SELATAN,3.102201,101.706179,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP12,Cheras,CHERAS,3.112609,101.714178,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,False,valid
SP11,Chan Sow Lin,CHAN SOW LIN,3.128105,101.715637,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP10,Pudu,PUDU,3.134879,101.711957,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP9,Hang Tuah,HANG TUAH,3.140012,101.705984,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP8,Plaza Rakyat,PLAZA RAKYAT,3.144049,101.702105,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP7,Masjid Jamek,MASJID JAMEK,3.14927,101.696377,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP6,Bandaraya - UOB,BANDARAYA - UOB,3.155567,101.694485,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP5,Sultan Ismail,SULTAN ISMAIL,3.161245,101.694109,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP4,Pwtc,PWTC,3.166333,101.693586,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP3,Titiwangsa,TITIWANGSA,3.173497,101.695367,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP2,Sentul,SENTUL,3.178484,101.695542,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
SP1,Sentul Timur,SENTUL TIMUR,3.185897,101.695217,LRT,PH,SPL,LRT Sri Petaling Line,#76232f,True,True,valid
KG04,Kwasa Damansara,KWASA DAMANSARA,3.176146,101.572052,,MRT,,,,True,True,valid
KG05,Kwasa Sentral,KWASA SENTRAL,3.170112,101.564651,,MRT,,,,True,False,valid
KG06,Kota Damansara,KOTA DAMANSARA,3.150134,101.57869,,MRT,,,,True,False,valid
KG07,Surian,SURIAN,3.14948,101.593925,,MRT,,,,True,False,valid
KG08,Mutiara Damansara,MUTIARA DAMANSARA,3.155301,101.609077,,MRT,,,,True,False,valid
KG09,Bandar Utama,BANDAR UTAMA,3.14671,101.618599,,MRT,,,,True,False,valid
KG10,Taman Tun Dr Ismail,TAMAN TUN DR ISMAIL,3.13613,101.630539,,MRT,,,,True,False,valid
KG12,Phileo Damansara,PHILEO DAMANSARA,3.129864,101.642471,,MRT,,,,True,False,valid
KG13,Pusat Bandar Damansara,PUSAT BANDAR DAMANSARA,3.143444,101.662857,,MRT,,,,True,False,valid
KG14,Semantan,SEMANTAN,3.150977,101.665497,,MRT,,,,True,False,valid
KG15,Muzium Negara,MUZIUM NEGARA,3.137317,101.687336,,MRT,,,,True,False,valid
